district,division,climate_zone,year,month,rainfall_mm,river_level_m,soil_saturation_percent,drainage_quality,district_flood_prone,flood_occurred
Ampara,Ampara-DS1,Dry,2020,11,337.9,2.8,55.3,Poor,0,1
Anuradhapura,Anuradhapura-DS3,Dry,2020,10,134.7,2.05,37.1,Poor,0,0
Vavuniya,Vavuniya-DS5,Dry,2009,10,147.0,2.59,28.3,Good,0,0
Galle,Galle-DS5,Wet,2011,8,384.8,3.71,54.1,Moderate,1,1
Anuradhapura,Anuradhapura-DS5,Dry,2009,9,92.1,1.93,21.4,Poor,0,0
Gampaha,Gampaha-DS1,Wet,2014,11,276.6,3.02,58.4,Moderate,1,0
Batticaloa,Batticaloa-DS6,Dry,2010,3,50.1,2.31,37.7,Moderate,1,0
Matale,Matale-DS2,Intermediate,2019,11,178.5,1.75,39.7,Moderate,0,0
Polonnaruwa,Polonnaruwa-DS3,Dry,2019,2,78.7,1.72,37.6,Good,0,0
Kurunegala,Kurunegala-DS1,Intermediate,2015,3,556.0,4.46,76.5,Moderate,1,0
Jaffna,Jaffna-DS2,Dry,2023,1,84.1,1.81,32.4,Poor,0,0
Moneragala,Moneragala-DS6,Dry,2020,3,77.8,2.07,39.3,Moderate,0,0
Jaffna,Jaffna-DS4,Dry,2018,7,38.5,1.58,30.0,Poor,0,0
Ratnapura,Ratnapura-DS1,Wet,2023,8,478.5,4.4,73.3,Good,1,1
Mullaitivu,Mullaitivu-DS2,Dry,2011,12,198.7,2.08,47.2,Poor,0,0
Trincomalee,Trincomalee-DS5,Dry,2024,1,212.9,2.83,41.6,Poor,1,0
Gampaha,Gampaha-DS5,Wet,2019,4,274.4,3.09,50.8,Good,1,1
Trincomalee,Trincomalee-DS2,Dry,2014,1,129.9,2.37,34.4,Moderate,1,1
Anuradhapura,Anuradhapura-DS3,Dry,2024,1,215.0,2.21,38.6,Good,0,1
Kilinochchi,Kilinochchi-DS5,Dry,2022,4,64.2,1.42,37.1,Poor,0,0
Ratnapura,Ratnapura-DS3,Wet,2024,1,224.3,3.13,46.1,Good,1,0
Nuwara Eliya,Nuwara Eliya-DS2,Wet,2015,12,604.8,3.66,60.0,Poor,0,1
Gampaha,Gampaha-DS3,Wet,2021,3,244.9,2.85,60.9,Good,1,0
Nuwara Eliya,Nuwara Eliya-DS5,Wet,2008,9,235.1,2.58,37.1,Poor,0,0
Vavuniya,Vavuniya-DS2,Dry,2008,8,103.1,2.06,39.0,Moderate,0,0
Puttalam,Puttalam-DS5,Dry,2013,4,55.2,2.05,35.1,Poor,0,0
Galle,Galle-DS2,Wet,2023,2,178.2,3.12,58.2,Moderate,1,1
Ratnapura,Ratnapura-DS6,Wet,2012,9,208.2,3.07,48.0,Poor,1,0
Hambantota,Hambantota-DS5,Dry,2019,3,133.5,2.15,31.6,Poor,0,0
Mullaitivu,Mullaitivu-DS5,Dry,2019,6,84.1,1.26,30.3,Moderate,0,0
Polonnaruwa,Polonnaruwa-DS4,Dry,2021,3,61.6,1.32,29.2,Good,0,0
Badulla,Badulla-DS1,Intermediate,2010,6,194.8,2.42,38.1,Good,0,0
Galle,Galle-DS5,Wet,2015,8,199.2,3.03,44.6,Moderate,1,0
Jaffna,Jaffna-DS1,Dry,2008,6,98.3,2.11,35.5,Poor,0,0
Mullaitivu,Mullaitivu-DS3,Dry,2024,6,120.3,1.62,40.9,Moderate,0,0
Kandy,Kandy-DS4,Wet,2014,11,188.6,2.73,52.8,Moderate,1,1
Kilinochchi,Kilinochchi-DS5,Dry,2018,3,47.8,1.97,24.8,Poor,0,0
Gampaha,Gampaha-DS6,Wet,2016,9,342.3,3.25,63.8,Good,1,0
Kalutara,Kalutara-DS4,Wet,2022,10,212.7,3.15,53.7,Good,1,0
Matara,Matara-DS3,Wet,2014,9,314.3,3.37,63.7,Moderate,1,1
Ampara,Ampara-DS5,Dry,2011,7,111.3,2.0,31.1,Good,0,1
Nuwara Eliya,Nuwara Eliya-DS2,Wet,2018,6,396.9,2.87,51.0,Good,0,0
Mannar,Mannar-DS4,Dry,2024,4,43.6,1.73,29.7,Poor,0,0
Kilinochchi,Kilinochchi-DS1,Dry,2010,11,114.3,1.93,41.7,Moderate,0,0
Trincomalee,Trincomalee-DS6,Dry,2019,3,46.5,2.42,35.1,Moderate,1,0
Gampaha,Gampaha-DS3,Wet,2008,3,222.5,2.82,55.0,Moderate,1,0
Matale,Matale-DS4,Intermediate,2008,2,228.2,2.05,41.3,Moderate,0,0
Ampara,Ampara-DS5,Dry,2014,1,95.8,1.96,36.9,Poor,0,0
Jaffna,Jaffna-DS3,Dry,2009,10,196.9,2.14,37.3,Moderate,0,0
Matale,Matale-DS1,Intermediate,2021,9,285.3,2.19,43.6,Moderate,0,0
Galle,Galle-DS4,Wet,2017,2,169.4,2.96,53.5,Good,1,0
Ratnapura,Ratnapura-DS3,Wet,2015,8,243.8,3.12,39.5,Moderate,1,1
Kalutara,Kalutara-DS5,Wet,2017,8,180.9,3.62,45.7,Moderate,1,1
Batticaloa,Batticaloa-DS4,Dry,2018,5,116.2,2.27,39.7,Moderate,1,0
Kilinochchi,Kilinochchi-DS1,Dry,2014,11,160.6,1.85,41.6,Good,0,0
Matara,Matara-DS2,Wet,2016,1,207.7,2.89,47.5,Good,1,0
Kilinochchi,Kilinochchi-DS5,Dry,2016,2,163.7,1.9,32.1,Moderate,0,0
Matale,Matale-DS2,Intermediate,2020,7,321.2,2.51,47.8,Moderate,0,0
Kegalle,Kegalle-DS5,Wet,2012,8,458.1,3.82,64.7,Moderate,1,1
Matara,Matara-DS5,Wet,2017,1,272.2,3.29,51.6,Poor,1,1
Vavuniya,Vavuniya-DS1,Dry,2012,5,129.7,2.35,30.1,Moderate,0,0
Badulla,Badulla-DS1,Intermediate,2014,6,157.5,2.3,34.6,Poor,0,0
Ratnapura,Ratnapura-DS6,Wet,2016,7,417.7,3.79,75.0,Moderate,1,1
Mullaitivu,Mullaitivu-DS6,Dry,2009,7,65.4,1.51,30.7,Moderate,0,0
Batticaloa,Batticaloa-DS3,Dry,2023,11,266.1,3.0,60.7,Moderate,1,0
Nuwara Eliya,Nuwara Eliya-DS4,Wet,2012,10,294.3,2.74,55.9,Moderate,0,1
Colombo,Colombo-DS6,Wet,2024,4,150.7,2.88,49.8,Moderate,1,0
Hambantota,Hambantota-DS6,Dry,2011,9,83.4,1.87,30.8,Poor,0,0
Kilinochchi,Kilinochchi-DS1,Dry,2014,6,116.7,1.9,28.5,Poor,0,0
Matara,Matara-DS1,Wet,2009,6,452.3,4.22,58.7,Moderate,1,1
Nuwara Eliya,Nuwara Eliya-DS1,Wet,2016,6,189.0,2.25,50.9,Moderate,0,0
Mannar,Mannar-DS6,Dry,2022,9,83.6,2.24,32.4,Poor,0,0
Kilinochchi,Kilinochchi-DS1,Dry,2022,4,95.7,1.75,25.9,Poor,0,0
Mullaitivu,Mullaitivu-DS5,Dry,2017,8,89.4,1.76,31.2,Poor,0,0
Moneragala,Moneragala-DS4,Dry,2010,3,75.9,1.68,24.7,Good,0,0
Anuradhapura,Anuradhapura-DS6,Dry,2019,9,70.4,1.93,37.4,Moderate,0,0
Moneragala,Moneragala-DS1,Dry,2022,2,82.2,1.97,33.0,Moderate,0,0
Kilinochchi,Kilinochchi-DS4,Dry,2019,2,59.0,1.65,32.1,Moderate,0,0
Ratnapura,Ratnapura-DS6,Wet,2025,11,231.6,3.38,64.2,Poor,1,1
Mannar,Mannar-DS4,Dry,2018,11,84.7,1.62,38.5,Good,0,0
Mullaitivu,Mullaitivu-DS2,Dry,2013,7,113.8,1.63,28.2,Poor,0,0
Ampara,Ampara-DS4,Dry,2020,3,124.2,2.04,24.8,Good,0,0
Matale,Matale-DS5,Intermediate,2013,8,167.7,1.95,38.1,Good,0,0
Badulla,Badulla-DS1,Intermediate,2017,10,230.6,2.29,36.9,Moderate,0,0
Gampaha,Gampaha-DS5,Wet,2009,6,392.6,3.66,68.4,Good,1,0
Mullaitivu,Mullaitivu-DS4,Dry,2024,4,107.0,1.63,33.8,Moderate,0,0
Kilinochchi,Kilinochchi-DS3,Dry,2015,1,197.2,2.17,52.7,Moderate,0,0
Gampaha,Gampaha-DS6,Wet,2019,8,296.6,3.19,59.6,Good,1,0
Badulla,Badulla-DS6,Intermediate,2022,1,137.4,2.02,28.5,Poor,0,0
Polonnaruwa,Polonnaruwa-DS6,Dry,2017,8,84.2,1.62,35.3,Moderate,0,0
Vavuniya,Vavuniya-DS1,Dry,2008,11,148.0,1.89,29.3,Moderate,0,0
Colombo,Colombo-DS6,Wet,2011,10,255.2,2.9,56.6,Poor,1,1
Colombo,Colombo-DS2,Wet,2013,8,275.8,3.28,65.5,Poor,1,0
Nuwara Eliya,Nuwara Eliya-DS5,Wet,2008,8,267.2,2.67,44.4,Poor,0,0
Matale,Matale-DS5,Intermediate,2021,5,218.1,2.15,38.0,Poor,0,0
Ratnapura,Ratnapura-DS2,Wet,2008,1,309.4,3.58,49.8,Good,1,1
Mannar,Mannar-DS5,Dry,2023,8,58.6,1.29,40.8,Good,0,0
Puttalam,Puttalam-DS1,Dry,2009,5,53.1,1.79,31.0,Moderate,0,0
Matale,Matale-DS2,Intermediate,2009,7,131.7,1.98,46.6,Moderate,0,0
Moneragala,Moneragala-DS6,Dry,2017,4,89.1,1.91,42.4,Poor,0,0
Ratnapura,Ratnapura-DS3,Wet,2011,2,146.8,2.81,47.4,Moderate,1,0
Kandy,Kandy-DS5,Wet,2014,4,248.0,3.4,55.4,Poor,1,1
Matara,Matara-DS1,Wet,2011,11,231.3,3.24,51.3,Poor,1,1
Colombo,Colombo-DS5,Wet,2010,3,347.7,3.42,53.4,Moderate,1,1
Badulla,Badulla-DS3,Intermediate,2012,1,104.1,1.93,36.0,Moderate,0,0
Kegalle,Kegalle-DS4,Wet,2018,4,338.4,3.2,57.4,Poor,1,1
Kalutara,Kalutara-DS2,Wet,2023,8,205.1,3.17,63.1,Good,1,1
Vavuniya,Vavuniya-DS2,Dry,2011,6,46.5,1.96,24.0,Good,0,0
Kandy,Kandy-DS6,Wet,2021,5,169.7,2.68,53.7,Moderate,1,1
Kurunegala,Kurunegala-DS2,Intermediate,2012,7,152.9,2.9,38.4,Moderate,1,0
Colombo,Colombo-DS6,Wet,2019,9,272.6,3.28,57.3,Moderate,1,1
Kurunegala,Kurunegala-DS2,Intermediate,2014,1,131.8,2.75,29.5,Moderate,1,0
Matara,Matara-DS5,Wet,2014,9,275.0,3.36,56.0,Good,1,0
Colombo,Colombo-DS6,Wet,2013,6,262.6,3.28,50.3,Moderate,1,1
Badulla,Badulla-DS3,Intermediate,2010,6,263.3,2.52,49.8,Moderate,0,0
Ratnapura,Ratnapura-DS6,Wet,2016,5,457.7,3.96,70.5,Good,1,1
Hambantota,Hambantota-DS2,Dry,2020,5,85.5,2.05,31.6,Good,0,0
Gampaha,Gampaha-DS2,Wet,2013,3,225.4,3.16,53.1,Moderate,1,1
Gampaha,Gampaha-DS5,Wet,2017,1,436.4,3.97,57.5,Good,1,1
Kegalle,Kegalle-DS4,Wet,2018,2,216.5,2.86,45.4,Moderate,1,1
Polonnaruwa,Polonnaruwa-DS2,Dry,2014,8,66.2,1.88,32.9,Poor,0,0
Anuradhapura,Anuradhapura-DS5,Dry,2016,5,158.0,2.34,35.1,Moderate,0,0
Jaffna,Jaffna-DS4,Dry,2022,9,99.0,1.84,30.8,Poor,0,0
Kalutara,Kalutara-DS5,Wet,2011,7,326.1,3.45,56.2,Poor,1,1
Nuwara Eliya,Nuwara Eliya-DS3,Wet,2016,7,215.5,2.33,50.8,Moderate,0,0
Hambantota,Hambantota-DS1,Dry,2025,6,116.1,2.0,28.4,Good,0,0
Ratnapura,Ratnapura-DS5,Wet,2010,9,220.1,2.94,49.5,Moderate,1,1
Kilinochchi,Kilinochchi-DS1,Dry,2019,3,112.8,1.99,42.7,Good,0,0
Kilinochchi,Kilinochchi-DS2,Dry,2014,6,64.3,1.82,32.7,Poor,0,0
Anuradhapura,Anuradhapura-DS1,Dry,2022,6,49.4,2.05,31.1,Moderate,0,0
Colombo,Colombo-DS1,Wet,2023,7,426.9,4.0,72.6,Poor,1,1
Kegalle,Kegalle-DS4,Wet,2020,7,472.8,3.76,69.6,Good,1,1
Ratnapura,Ratnapura-DS5,Wet,2019,12,270.3,3.22,50.6,Poor,1,0
Matara,Matara-DS4,Wet,2009,9,311.1,3.48,55.5,Poor,1,0
Colombo,Colombo-DS5,Wet,2011,9,310.0,3.19,76.2,Poor,1,1
Puttalam,Puttalam-DS1,Dry,2009,12,119.3,2.17,32.7,Moderate,0,0
Trincomalee,Trincomalee-DS5,Dry,2022,10,91.8,2.5,39.7,Moderate,1,0
Colombo,Colombo-DS4,Wet,2023,4,234.3,3.38,48.8,Good,1,0
Moneragala,Moneragala-DS3,Dry,2016,11,117.0,2.13,31.5,Moderate,0,0
Mannar,Mannar-DS1,Dry,2014,7,59.2,1.97,31.9,Poor,0,0
Galle,Galle-DS6,Wet,2011,6,330.6,3.34,68.3,Poor,1,1
Moneragala,Moneragala-DS4,Dry,2012,1,165.7,2.19,32.2,Poor,0,0
Nuwara Eliya,Nuwara Eliya-DS2,Wet,2008,6,300.7,2.75,54.5,Poor,0,1
Jaffna,Jaffna-DS6,Dry,2015,3,55.2,1.66,37.3,Poor,0,0
Gampaha,Gampaha-DS6,Wet,2013,8,308.1,3.19,59.8,Poor,1,1
Kandy,Kandy-DS1,Wet,2025,8,150.2,2.59,52.4,Good,1,0
Kilinochchi,Kilinochchi-DS2,Dry,2018,6,70.8,1.62,36.2,Moderate,0,1
Kalutara,Kalutara-DS5,Wet,2021,9,191.2,3.29,43.3,Moderate,1,0
Badulla,Badulla-DS6,Intermediate,2025,6,206.5,2.13,44.7,Moderate,0,0
Polonnaruwa,Polonnaruwa-DS2,Dry,2013,7,68.5,1.54,26.6,Moderate,0,0
Kilinochchi,Kilinochchi-DS1,Dry,2023,3,42.1,1.8,30.4,Moderate,0,0
Trincomalee,Trincomalee-DS3,Dry,2017,7,55.4,2.53,36.4,Moderate,1,0
Ratnapura,Ratnapura-DS5,Wet,2015,3,180.0,3.07,48.1,Good,1,0
Kegalle,Kegalle-DS6,Wet,2011,6,170.5,2.84,47.8,Good,1,0
Ratnapura,Ratnapura-DS1,Wet,2010,4,404.4,3.72,66.1,Moderate,1,1
Kegalle,Kegalle-DS4,Wet,2025,11,516.9,4.32,71.4,Moderate,1,0
Matale,Matale-DS1,Intermediate,2012,8,144.7,1.93,41.9,Moderate,0,1
Hambantota,Hambantota-DS2,Dry,2017,12,177.0,2.13,43.3,Moderate,0,0
Nuwara Eliya,Nuwara Eliya-DS2,Wet,2009,4,255.2,2.5,58.3,Moderate,0,0
Nuwara Eliya,Nuwara Eliya-DS1,Wet,2015,4,141.0,2.2,47.7,Good,0,1
Kilinochchi,Kilinochchi-DS3,Dry,2015,3,131.6,1.85,36.3,Good,0,0
Galle,Galle-DS5,Wet,2012,10,274.0,3.43,52.4,Poor,1,1
Mannar,Mannar-DS2,Dry,2009,3,87.7,1.65,32.1,Moderate,0,0
Batticaloa,Batticaloa-DS2,Dry,2011,7,94.5,2.58,33.9,Poor,1,0
Kilinochchi,Kilinochchi-DS3,Dry,2019,8,62.1,1.53,31.0,Moderate,0,0
Moneragala,Moneragala-DS3,Dry,2024,3,145.9,2.21,39.3,Poor,0,0
Ratnapura,Ratnapura-DS2,Wet,2024,7,277.5,3.54,54.2,Good,1,1
Anuradhapura,Anuradhapura-DS6,Dry,2025,4,86.1,1.72,45.8,Poor,0,0
Ampara,Ampara-DS4,Dry,2018,5,104.4,2.11,28.7,Good,0,0
Kegalle,Kegalle-DS1,Wet,2023,3,190.9,3.0,55.7,Moderate,1,1
Jaffna,Jaffna-DS2,Dry,2009,2,108.0,1.86,35.1,Good,0,0
Trincomalee,Trincomalee-DS2,Dry,2021,1,88.9,2.45,36.7,Moderate,1,0
Vavuniya,Vavuniya-DS2,Dry,2019,11,151.1,1.95,41.3,Moderate,0,0
Moneragala,Moneragala-DS2,Dry,2021,8,82.0,1.99,22.1,Moderate,0,0
Matale,Matale-DS1,Intermediate,2011,4,214.0,1.97,43.3,Poor,0,0
Mannar,Mannar-DS6,Dry,2020,4,147.8,1.84,42.6,Poor,0,1
Nuwara Eliya,Nuwara Eliya-DS2,Wet,2024,12,198.6,2.41,43.5,Moderate,0,0
Matale,Matale-DS4,Intermediate,2019,1,149.7,1.46,36.7,Poor,0,0
Gampaha,Gampaha-DS5,Wet,2019,6,285.4,3.48,50.4,Good,1,1
Matale,Matale-DS1,Intermediate,2011,7,132.5,1.93,31.8,Poor,0,0
Mannar,Mannar-DS1,Dry,2018,11,257.5,2.43,45.3,Good,0,0
Kalutara,Kalutara-DS5,Wet,2013,12,250.0,3.27,48.1,Moderate,1,0
Galle,Galle-DS1,Wet,2014,4,433.8,3.82,62.4,Poor,1,0
Badulla,Badulla-DS6,Intermediate,2024,3,252.1,2.51,46.0,Moderate,0,1
Kegalle,Kegalle-DS1,Wet,2022,10,252.6,2.96,45.4,Moderate,1,0
Ampara,Ampara-DS6,Dry,2015,10,223.4,2.5,43.1,Moderate,0,1
Kalutara,Kalutara-DS2,Wet,2017,4,303.4,3.03,63.7,Poor,1,1
Kandy,Kandy-DS4,Wet,2008,10,287.6,2.97,61.2,Moderate,1,1
Kandy,Kandy-DS6,Wet,2019,3,346.9,3.24,55.2,Poor,1,0
Matara,Matara-DS2,Wet,2008,6,301.5,3.27,55.4,Moderate,1,0
Anuradhapura,Anuradhapura-DS5,Dry,2008,10,185.8,2.58,33.9,Moderate,0,0
Kurunegala,Kurunegala-DS6,Intermediate,2020,10,541.3,4.33,68.1,Good,1,1
Kilinochchi,Kilinochchi-DS3,Dry,2017,6,42.3,1.35,28.7,Poor,0,0
Kandy,Kandy-DS4,Wet,2022,8,267.0,3.43,54.6,Poor,1,1
Trincomalee,Trincomalee-DS2,Dry,2016,12,172.3,3.01,44.3,Poor,1,0
Hambantota,Hambantota-DS5,Dry,2012,10,140.6,1.83,34.2,Good,0,0
Galle,Galle-DS5,Wet,2024,3,360.4,3.59,70.2,Good,1,1
Kegalle,Kegalle-DS2,Wet,2022,3,146.9,2.34,41.4,Moderate,1,0
Matara,Matara-DS1,Wet,2023,12,48.8,2.63,44.3,Moderate,1,0
Mullaitivu,Mullaitivu-DS5,Dry,2011,5,60.0,1.64,32.0,Moderate,0,0
Jaffna,Jaffna-DS1,Dry,2012,3,61.7,1.76,26.5,Good,0,0
Moneragala,Moneragala-DS5,Dry,2010,6,116.0,1.92,30.2,Moderate,0,0
Kurunegala,Kurunegala-DS1,Intermediate,2021,11,104.6,2.62,30.4,Good,1,0
Vavuniya,Vavuniya-DS5,Dry,2008,1,204.1,2.64,49.8,Poor,0,0
Trincomalee,Trincomalee-DS1,Dry,2016,9,97.5,2.7,45.8,Good,1,0
Kilinochchi,Kilinochchi-DS1,Dry,2011,9,74.1,1.84,38.9,Poor,0,0
Kalutara,Kalutara-DS4,Wet,2008,2,218.3,2.83,48.6,Good,1,1
Matale,Matale-DS2,Intermediate,2018,11,197.4,1.99,45.3,Moderate,0,1
Mullaitivu,Mullaitivu-DS1,Dry,2025,4,129.1,1.79,32.9,Poor,0,0
Puttalam,Puttalam-DS2,Dry,2014,12,93.8,1.99,36.5,Moderate,0,0
Matara,Matara-DS3,Wet,2022,2,99.0,2.55,48.5,Good,1,0
Kegalle,Kegalle-DS3,Wet,2016,7,721.4,4.58,95.0,Good,1,1
Vavuniya,Vavuniya-DS6,Dry,2022,1,175.8,1.88,31.1,Moderate,0,1
Batticaloa,Batticaloa-DS5,Dry,2014,4,177.0,2.49,41.8,Poor,1,1
Mullaitivu,Mullaitivu-DS1,Dry,2013,6,56.4,1.45,34.1,Poor,0,0
Matara,Matara-DS3,Wet,2021,4,521.0,4.2,66.8,Moderate,1,1
Anuradhapura,Anuradhapura-DS2,Dry,2018,3,57.5,1.87,35.6,Moderate,0,1
Badulla,Badulla-DS4,Intermediate,2018,9,231.5,2.45,42.4,Moderate,0,0
Jaffna,Jaffna-DS1,Dry,2023,9,91.7,1.91,36.7,Moderate,0,0
Jaffna,Jaffna-DS4,Dry,2021,8,74.2,2.08,32.2,Moderate,0,0
Galle,Galle-DS3,Wet,2020,1,239.2,3.36,55.7,Poor,1,0
Kurunegala,Kurunegala-DS2,Intermediate,2024,10,157.4,2.77,36.9,Moderate,1,0
Colombo,Colombo-DS5,Wet,2018,4,197.1,2.76,54.4,Moderate,1,0
Anuradhapura,Anuradhapura-DS4,Dry,2020,10,163.5,2.25,35.4,Poor,0,0
Puttalam,Puttalam-DS3,Dry,2025,8,84.7,1.9,36.4,Poor,0,0
Moneragala,Moneragala-DS5,Dry,2015,9,76.6,1.74,47.7,Moderate,0,0
Kurunegala,Kurunegala-DS6,Intermediate,2008,5,108.5,2.51,46.1,Moderate,1,0
Batticaloa,Batticaloa-DS3,Dry,2022,8,79.5,2.23,30.6,Moderate,1,0
Kalutara,Kalutara-DS3,Wet,2015,5,408.8,3.86,55.9,Poor,1,1
Matara,Matara-DS6,Wet,2025,5,130.9,2.79,42.8,Good,1,0
Mannar,Mannar-DS2,Dry,2020,2,73.8,2.07,33.7,Moderate,0,0
Matara,Matara-DS1,Wet,2009,4,191.8,2.97,53.6,Moderate,1,0
Matara,Matara-DS1,Wet,2017,6,142.6,2.76,42.3,Good,1,0
Mannar,Mannar-DS2,Dry,2012,12,157.8,2.1,42.1,Moderate,0,0
Ratnapura,Ratnapura-DS2,Wet,2014,5,329.9,3.64,51.5,Moderate,1,1
Mullaitivu,Mullaitivu-DS6,Dry,2021,1,138.0,1.96,33.5,Good,0,0
Mannar,Mannar-DS1,Dry,2017,9,168.9,1.8,34.0,Moderate,0,0
Polonnaruwa,Polonnaruwa-DS6,Dry,2018,10,139.0,1.65,37.2,Good,0,0
Ampara,Ampara-DS3,Dry,2019,8,69.1,1.55,38.5,Moderate,0,0
Matale,Matale-DS3,Intermediate,2011,3,171.1,2.08,46.9,Good,0,0
Polonnaruwa,Polonnaruwa-DS3,Dry,2022,4,49.8,1.66,30.7,Moderate,0,0
Nuwara Eliya,Nuwara Eliya-DS2,Wet,2020,4,305.6,2.92,42.2,Poor,0,0
Hambantota,Hambantota-DS4,Dry,2019,11,188.0,2.6,45.7,Poor,0,0
Ratnapura,Ratnapura-DS6,Wet,2018,6,184.1,3.14,55.5,Moderate,1,1
Kandy,Kandy-DS6,Wet,2023,12,188.7,3.01,53.3,Poor,1,0
Kalutara,Kalutara-DS1,Wet,2023,3,195.0,3.22,49.8,Poor,1,1
Kilinochchi,Kilinochchi-DS4,Dry,2015,11,105.8,1.78,34.1,Poor,0,0
Anuradhapura,Anuradhapura-DS6,Dry,2010,10,307.7,2.52,56.0,Good,0,0
Kandy,Kandy-DS1,Wet,2015,2,120.1,2.71,44.0,Poor,1,0
Batticaloa,Batticaloa-DS2,Dry,2013,8,77.5,2.13,32.8,Moderate,1,0
Matara,Matara-DS4,Wet,2017,8,165.2,3.26,39.1,Good,1,0
Matara,Matara-DS6,Wet,2021,7,239.8,3.17,60.3,Moderate,1,1
Kurunegala,Kurunegala-DS5,Intermediate,2021,7,102.9,2.62,26.9,Poor,1,0
Hambantota,Hambantota-DS1,Dry,2017,2,88.1,2.23,28.3,Moderate,0,0
Batticaloa,Batticaloa-DS4,Dry,2013,3,125.6,2.35,37.8,Moderate,1,0
Colombo,Colombo-DS5,Wet,2010,11,373.1,3.51,70.3,Moderate,1,0
Ratnapura,Ratnapura-DS1,Wet,2019,11,362.2,3.51,63.0,Moderate,1,1
Colombo,Colombo-DS1,Wet,2017,5,266.5,2.88,57.3,Moderate,1,1
Mannar,Mannar-DS3,Dry,2009,8,105.0,2.14,33.2,Moderate,0,0
Kilinochchi,Kilinochchi-DS4,Dry,2015,6,37.3,1.75,31.2,Good,0,0
Ratnapura,Ratnapura-DS5,Wet,2023,7,195.4,3.23,53.3,Poor,1,1
Colombo,Colombo-DS1,Wet,2009,7,370.2,3.55,61.9,Moderate,1,1
Jaffna,Jaffna-DS3,Dry,2009,9,62.7,2.01,29.2,Moderate,0,0
Polonnaruwa,Polonnaruwa-DS5,Dry,2008,8,89.8,1.67,39.8,Poor,0,0
Puttalam,Puttalam-DS5,Dry,2011,10,248.2,2.79,45.6,Poor,0,0
Mullaitivu,Mullaitivu-DS6,Dry,2022,3,114.2,1.98,34.8,Good,0,0
Kilinochchi,Kilinochchi-DS5,Dry,2014,5,95.7,1.6,23.4,Moderate,0,0
Vavuniya,Vavuniya-DS6,Dry,2008,7,98.9,1.66,34.1,Good,0,0
Galle,Galle-DS1,Wet,2021,9,199.4,3.18,49.3,Good,1,0
Matale,Matale-DS1,Intermediate,2012,11,161.3,2.13,45.8,Moderate,0,0
Galle,Galle-DS6,Wet,2024,2,146.5,2.52,44.6,Poor,1,0
Colombo,Colombo-DS2,Wet,2009,1,295.8,3.34,57.9,Poor,1,0
Nuwara Eliya,Nuwara Eliya-DS4,Wet,2016,12,164.6,2.51,46.1,Good,0,0
Ratnapura,Ratnapura-DS1,Wet,2014,5,457.1,3.7,74.6,Moderate,1,0
Nuwara Eliya,Nuwara Eliya-DS2,Wet,2024,9,231.4,2.58,49.4,Poor,0,0
Ratnapura,Ratnapura-DS4,Wet,2011,11,247.7,3.46,44.2,Good,1,0
Polonnaruwa,Polonnaruwa-DS4,Dry,2025,7,34.5,1.59,19.7,Good,0,0
Matale,Matale-DS2,Intermediate,2008,12,178.0,2.05,43.6,Poor,0,1
Kilinochchi,Kilinochchi-DS2,Dry,2010,9,96.7,1.64,34.2,Poor,0,0
Jaffna,Jaffna-DS4,Dry,2019,4,105.2,1.93,37.3,Moderate,0,0
Kegalle,Kegalle-DS6,Wet,2022,12,220.3,3.12,44.6,Moderate,1,1
Puttalam,Puttalam-DS2,Dry,2009,2,87.1,1.93,40.8,Good,0,0
Badulla,Badulla-DS5,Intermediate,2019,9,107.5,1.96,37.0,Poor,0,0
Badulla,Badulla-DS6,Intermediate,2023,4,204.5,2.17,40.9,Moderate,0,0
Anuradhapura,Anuradhapura-DS4,Dry,2020,4,128.5,1.83,35.1,Poor,0,0
Ampara,Ampara-DS6,Dry,2015,4,154.5,1.82,39.3,Poor,0,0
Kilinochchi,Kilinochchi-DS3,Dry,2023,9,68.9,1.81,33.8,Poor,0,0
Mannar,Mannar-DS3,Dry,2025,5,106.6,2.06,26.2,Moderate,0,0
Ratnapura,Ratnapura-DS3,Wet,2023,4,229.2,2.99,50.2,Moderate,1,0
Kilinochchi,Kilinochchi-DS3,Dry,2019,2,96.1,1.59,39.3,Good,0,0
Anuradhapura,Anuradhapura-DS5,Dry,2012,7,79.1,1.57,30.1,Moderate,0,0
Puttalam,Puttalam-DS2,Dry,2021,12,59.7,1.77,29.6,Moderate,0,0
Vavuniya,Vavuniya-DS1,Dry,2022,7,123.0,2.18,38.7,Good,0,0
Hambantota,Hambantota-DS1,Dry,2008,6,247.4,2.34,37.0,Moderate,0,0
Polonnaruwa,Polonnaruwa-DS3,Dry,2023,12,111.6,1.9,37.8,Good,0,0
Puttalam,Puttalam-DS6,Dry,2013,8,61.2,1.73,32.6,Poor,0,0
Colombo,Colombo-DS1,Wet,2025,8,593.0,4.28,84.8,Moderate,1,1
Kegalle,Kegalle-DS5,Wet,2012,11,504.6,3.8,62.4,Poor,1,1
Anuradhapura,Anuradhapura-DS3,Dry,2019,11,163.2,2.14,41.2,Moderate,0,0
Moneragala,Moneragala-DS3,Dry,2019,4,124.6,2.06,31.8,Poor,0,0
Kandy,Kandy-DS1,Wet,2015,3,217.2,3.02,46.9,Poor,1,1
Gampaha,Gampaha-DS1,Wet,2015,5,229.4,3.14,55.2,Moderate,1,0
